Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Status
salina-bianco,Salina Bianco,"<p>Ηφαιστειακό λευκό από τη Σαλίνα. Ώριμα φρούτα, λευκό ροδάκινο και μεσογειακή βλάστηση.</p><p><em>Volcanic white from Salina. Ripe fruit, white peach and Mediterranean scrub.</em></p><ul><li>Ποικιλία / Grape: Inzolia 50% · Catarratto 50%</li><li>IGP Salina · Λευκό / IGP Salina · White</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 12,5%</li><li>Σερβίρισμα / Serve: 8–10°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Λευκό κρασί / White wine,"Λευκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,SALINA-BIANCO,1200,,deny,manual,16.5,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/salina-bianco.png,1,active
salina-rosso,Salina Rosso,"<p>Ρουμπινί ερυθρό. Βύσσινο, άγριο κεράσι και μεσογειακά άνθη, με δυνατότητα παλαίωσης.</p><p><em>Ruby red. Sour cherry, wild cherry and Mediterranean blossom, with ageing potential.</em></p><ul><li>Ποικιλία / Grape: Nerello Cappuccio · Nerello Mascalese</li><li>IGP Salina · Ερυθρό / IGP Salina · Red</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 14%</li><li>Σερβίρισμα / Serve: 16–18°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Ερυθρό κρασί / Red wine,"Ερυθρό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,SALINA-ROSSO,1200,,deny,manual,16.5,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/salina-rosso.png,1,active
salina-rosato,Salina Rosato,"<p>Ροζέ με ορυκτότητα. Άγριο τριαντάφυλλο, ροζ γκρέιπφρουτ και σπάρτο.</p><p><em>Mineral rosé. Wild rose, pink grapefruit and broom flower.</em></p><ul><li>Ποικιλία / Grape: Corinto Nero 50% · Nerello Mascalese 50%</li><li>IGP Salina · Ροζέ / IGP Salina · Rosé</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 13%</li><li>Σερβίρισμα / Serve: 10–12°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Ροζέ κρασί / Rosé wine,"Ροζέ κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,SALINA-ROSATO,1200,,deny,manual,16.5,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/salina-rosato.png,1,active
secca-del-capo,Secca del Capo,"<p>Ξηρή Malvasia από Capo Faro & Porri. Εξωτικά φρούτα, αχλάδι, εσπεριδοειδή, δεντρολίβανο.</p><p><em>Dry Malvasia from Capo Faro & Porri. Exotic fruit, pear, citrus, rosemary.</em></p><ul><li>Ποικιλία / Grape: 100% Malvasia</li><li>IGP Salina · Λευκό ξηρό / IGP Salina · Dry white</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 13,5%</li><li>Σερβίρισμα / Serve: 10°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Λευκό κρασί / White wine,"Λευκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,SECCA-DEL-CAPO,1200,,deny,manual,18.5,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/secca-del-capo.png,1,active
guardiano-del-faro,Guardiano del Faro,"<p>«Ο Φύλακας του Φάρου». Δομημένο ερυθρό· κόκκινα φρούτα, βανίλια και μπαχαρικά. Για παλαίωση.</p><p><em>“Guardian of the Lighthouse.” Structured red; red fruit, vanilla and spice. Ages well.</em></p><ul><li>Ποικιλία / Grape: 100% Nerello Mascalese</li><li>IGP Salina · Ερυθρό / IGP Salina · Red</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 14%</li><li>Σερβίρισμα / Serve: 16–18°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Ερυθρό κρασί / Red wine,"Ερυθρό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,GUARDIANO-DEL-FARO,1200,,deny,manual,28.5,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/guardiano-del-faro.png,1,active
malvasia-lipari,Malvasia delle Lipari · Nurah,"<p>Γλυκιά Malvasia των Αιολικών. Ώριμο βερίκοκο, μέλι και διακριτική νότα ευκαλύπτου.</p><p><em>Sweet Aeolian Malvasia. Ripe apricot, honey and a touch of eucalyptus.</em></p><ul><li>Ποικιλία / Grape: Malvasia 95% · Corinto Nero 5%</li><li>DOC Naturale · Γλυκό / DOC Naturale · Sweet</li><li>Γλυκύτητα / Style: Γλυκό</li><li>Αλκοόλ / ABV: 13%</li><li>Σερβίρισμα / Serve: 15°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Γλυκό κρασί / Sweet wine,"Γλυκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,MALVASIA-LIPARI,1200,,deny,manual,25,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/malvasia-lipari.png,1,active
passito,Passito,"<p>Γλυκό Moscato. Αποξηραμένα σύκα, χουρμάς και μέλι. Wine for meditation.</p><p><em>Sweet Moscato. Dried figs, dates and honey. A wine for meditation.</em></p><ul><li>Ποικιλία / Grape: 100% Moscato Bianco</li><li>IGT Terre Siciliane · Γλυκό / IGT Terre Siciliane · Sweet</li><li>Γλυκύτητα / Style: Γλυκό</li><li>Αλκοόλ / ABV: 13%</li><li>Σερβίρισμα / Serve: 13°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Γλυκό κρασί / Sweet wine,"Γλυκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,PASSITO,1200,,deny,manual,18.5,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/passito.png,1,active
mare,Mar'è,"<p>Φρέσκο σικελικό λευκό. Λευκά άνθη, κίτρινα φρούτα και νότες πράσινου τσαγιού.</p><p><em>Fresh Sicilian white. White flowers, yellow fruit and green-tea notes.</em></p><ul><li>Ποικιλία / Grape: Inzolia 50% · Catarratto 50%</li><li>IGP Terre Siciliane · Λευκό / IGP Terre Siciliane · White</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 12,5%</li><li>Σερβίρισμα / Serve: 8–10°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Λευκό κρασί / White wine,"Λευκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,MARE,1200,,deny,manual,14.3,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/mare.png,1,active
cariddi-rosato,Cariddi Rosato,"<p>Λαμπερό ροζέ. Κόκκινα φρούτα, βελούδινη υφή και δροσερή οξύτητα.</p><p><em>Bright rosé. Red fruit, velvety texture and fresh acidity.</em></p><ul><li>Ποικιλία / Grape: 100% Nero d'Avola</li><li>DOC Sicilia · Ροζέ / DOC Sicilia · Rosé</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 12,5%</li><li>Σερβίρισμα / Serve: 10–12°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Ροζέ κρασί / Rosé wine,"Ροζέ κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,CARIDDI-ROSATO,1200,,deny,manual,12.2,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/cariddi-rosato.png,1,active
giulia-birbante,Giulia Birbante,"<p>Αφρώδες, αφιερωμένο από τον Pietro Colosi στην κόρη του. Άνθη πορτοκαλιάς, γιασεμί, αλμύρα.</p><p><em>Sparkling, dedicated by Pietro Colosi to his daughter. Orange blossom, jasmine, salinity.</em></p><ul><li>Ποικιλία / Grape: 100% Grecanico Dorato</li><li>Vino Bianco Frizzante / Sparkling white</li><li>Γλυκύτητα / Style: Brut</li><li>Αλκοόλ / ABV: 12,5%</li><li>Σερβίρισμα / Serve: 8–10°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Αφρώδης οίνος / Sparkling wine,"Αφρώδης οίνος, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,GIULIA-BIRBANTE,1200,,deny,manual,15.1,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/giulia-birbante.png,1,active
grillo-acacia,Grillo Acacia,"<p>Grillo σε βαρέλι ακακίας. Αρωματικά βότανα, διακριτική βανίλια και φρεσκάδα.</p><p><em>Grillo in acacia barrels. Aromatic herbs, subtle vanilla and freshness.</em></p><ul><li>Ποικιλία / Grape: 100% Grillo</li><li>DOC Sicilia · Λευκό / DOC Sicilia · White</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 13%</li><li>Σερβίρισμα / Serve: 10–12°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Λευκό κρασί / White wine,"Λευκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,GRILLO-ACACIA,1200,,deny,manual,15.2,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/grillo-acacia.png,1,active
viognier,Viognier,"<p>Αρωματικό Viognier. Ακακία, λεμονανθός, ροδάκινο και ευχάριστη ορυκτότητα.</p><p><em>Aromatic Viognier. Acacia, lemon blossom, peach and pleasant minerality.</em></p><ul><li>Ποικιλία / Grape: 100% Viognier</li><li>IGP Terre Siciliane · Λευκό / IGP Terre Siciliane · White</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 13%</li><li>Σερβίρισμα / Serve: 8–10°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Λευκό κρασί / White wine,"Λευκό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,VIOGNIER,1200,,deny,manual,14.3,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/viognier.png,1,active
nero-davola,Nero d'Avola,"<p>Η ναυαρχίδα της Σικελίας. Βύσσινο, δαμάσκηνο, μαύρο πιπέρι και ελιά. Απαλό, στρογγυλό.</p><p><em>Sicily's flagship grape. Sour cherry, plum, black pepper and olive. Soft and round.</em></p><ul><li>Ποικιλία / Grape: 100% Nero d'Avola</li><li>DOC Sicilia · Ερυθρό / DOC Sicilia · Red</li><li>Γλυκύτητα / Style: Ξηρό</li><li>Αλκοόλ / ABV: 14%</li><li>Σερβίρισμα / Serve: 16–18°C</li><li>750 ml · Σικελία, Ιταλία / Sicily, Italy</li></ul>",Cantine Colosi,Ερυθρό κρασί / Red wine,"Ερυθρό κρασί, Cantine Colosi, Cellar·K",TRUE,Title,Default Title,NERO-DAVOLA,1200,,deny,manual,13.3,TRUE,TRUE,https://romanos2408.github.io/cellark/assets/wines/nero-davola.png,1,active
